Elderly_sub1	Elderly_sub2	1_wasserstein_distance	2_wasserstein_distance	bottleneck_distance
32450	32492	0.4989581378458759	0.13917073054681814	0.0707708242255225
32450	32493	0.446562383652914	0.10960610554052032	0.049393074373615176
32450	32494	0.33042305780956144	0.0984812178890451	0.04368298915553859
32450	32495	0.5517016053509454	0.12834031919905403	0.045732502961979726
32450	32496	0.3868716862600226	0.10849989138319084	0.046936667475948046
32450	32497	0.531484501752409	0.12428815623104747	0.0565111724870353
32450	32498	0.28935512113519374	0.0753775614103565	0.04368298915553859
32452	32453	0.37840307047790733	0.10648283600482017	0.0598864327930238
32452	32454	0.44250889406799365	0.10915808350344373	0.04523196237256699
32452	32455	0.4449595091904385	0.1266409996736419	0.0735816082076648
32452	32457	0.27078049899696877	0.07469920691642021	0.03206639328463834
32452	32458	0.3026496210283847	0.07843406209547256	0.03284261655380333
32452	32459	0.48890914235040916	0.13045538114181526	0.06058285408166009
32452	32462	0.3786456573629263	0.09693415300317085	0.05427009194965138
32452	32463	0.2912073618101191	0.07434290547883331	0.04001738619302214
32452	32465	0.5497385389737369	0.13175233934222386	0.05653367458944658
32452	32466	0.44088451603707307	0.11362482432529263	0.0497803256784044
32452	32474	0.5973474205198297	0.13030006050766305	0.0569756108417529
32452	32475	0.3437200916623237	0.09041815106075637	0.04995397954532521
32452	32479	0.42098333321367676	0.1094521324155832	0.0546343448710126
32452	32482	0.2942786731636949	0.08254117800193884	0.0496950637876542
32452	32483	0.4266720618591804	0.10929178583593158	0.06589758291744718
32452	32484	0.45815242788662663	0.10656210127617971	0.0472410050285369
32452	32485	0.34064363310290613	0.09432066936655044	0.05735072495241833
32452	32486	0.4955856511322324	0.1208328637765804	0.04945130343252335
32452	32487	0.3667525469791275	0.10151036513808466	0.06084852117528117
32452	32488	0.5009663215917013	0.12407828048971288	0.04965516952870486
32452	32489	0.5031782632261812	0.130981791007154	0.0621061477668684
32452	32490	0.5564411115392492	0.15439354522171259	0.09398303471622738
32452	32491	0.5762190870894661	0.16309612139864688	0.07746119254450057
32452	32492	0.3301193851495286	0.10483529942966377	0.0700512595990419
32452	32493	0.43705410667289313	0.11140230737501311	0.04617274713233738
32452	32494	0.3472765358572816	0.09053668818609127	0.04100677157143506
32452	32495	0.6022591542982164	0.13063629946804617	0.04836105495108678
32452	32496	0.35937271542003163	0.09062742462172914	0.039848733253508184
32452	32497	0.5027069753939988	0.12638906653049994	0.06344986434498867
32452	32498	0.3876330150101472	0.09366156843833842	0.04231475945145258
32453	32454	0.4690939732073718	0.12362283406485745	0.05287027892910445
32453	32455	0.3251037979467006	0.08889105129684292	0.048131807229797374
32453	32457	0.410124791230975	0.10973810385680638	0.05287027892910445
32453	32458	0.36123672700834675	0.09994946987576306	0.0598864327930238
32453	32459	0.5419698522965072	0.13076683415665993	0.053705726464443604
32453	32462	0.4712322894789256	0.11718655536868632	0.06094994358667871
32453	32463	0.3953061034331551	0.1020805390850522	0.04783449744329471
32453	32465	0.6262713081602381	0.14021257818485297	0.05331385771174957
32453	32466	0.41877530102649696	0.10890869857420639	0.0562739316555505
32453	32474	0.5668527859253354	0.12624468732166608	0.04440874265884065
32453	32475	0.37206422893934865	0.1103189653616589	0.06300703102226235
32453	32479	0.45651171507476906	0.11465043708122812	0.049793356657278354
32453	32482	0.34358953100032913	0.09077383341331537	0.0516295353781413
32453	32483	0.39101802548357495	0.08703989559428471	0.03513651500781734
32453	32484	0.4444499269687476	0.10427052623382073	0.05287027892910445
32453	32485	0.3833714239394784	0.11167768954578261	0.0598864327930238
32453	32486	0.5690956948833147	0.12924137016037773	0.05988643279302386
32453	32487	0.5321139140751803	0.1371606922374078	0.06472538416193796
32453	32488	0.5199601828481184	0.12964066399373822	0.05988643279302386
32453	32489	0.5202262801287014	0.13200112624907442	0.05988643279302386
32453	32490	0.5871165032822963	0.148198760225176	0.0772246635427627
32453	32491	0.4467470214241995	0.11588953881675759	0.0485085543577235
32453	32492	0.41211324378877384	0.12305056376212894	0.0707708242255225
32453	32493	0.42665736538696675	0.11171123763744091	0.04888344571412917
32453	32494	0.4353285563980405	0.10809465945828904	0.044145557678125
32453	32495	0.5963469293139352	0.12968776285480385	0.04784636897972516
32453	32496	0.43347101618934675	0.10362624820583521	0.03984873325350824
32453	32497	0.5493399711016236	0.12438664834256936	0.05287027892910445
32453	32498	0.303952293099623	0.08310815536331213	0.038203575325296946
32454	32455	0.4692123856945242	0.1178858419716014	0.04860689518282213
